Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;Number of Expertise;% of Independence;% of Expertise;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
7435;22592;88579Y10;3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002);MMM;01/12/2017;5;5;4;100,00%;80,00%;31/12/2017;31/12/2017;28/02/2018;0,08;0,25;0,44;0,31;0,69;2,28
1078;20482;00282410;ABBOTT LABORATORIES;ABT;01/12/2017;5;3;1;60,00%;20,00%;31/12/2017;31/12/2017;28/02/2018;0,33;0,11;0,01;0,08;0,59;1,46
1177;88845;00817Y10;AETNA INC (Aetna US Healthcare Inc prior to 12/2000) (De-listed 11/2018);AET;01/12/2017;5;3;4;60,00%;80,00%;31/12/2017;31/12/2017;28/02/2018;0,26;0,09;0,11;0,16;0,71;2,52
125595;87299;00971T10;AKAMAI TECHNOLOGIES INC;AKAM;01/12/2017;7;6;1;85,71%;14,29%;31/12/2017;31/12/2017;28/02/2018;0,3;0,17;0,07;0,1;0,28;0,39
27638;16347;01387210;ALCOA CORP;AA;01/12/2017;5;5;5;100,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,48;0,14;0,04;0,24;0,61;2,35
28349;79323;02000210;ALLSTATE CORP;ALL;01/12/2017;4;4;3;100,00%;75,00%;31/12/2017;31/12/2017;28/02/2018;0,58;0,04;0,16;0,15;0,8;3,97
160329;90319;02079K30;ALPHABET INC (Google Inc prior to 10/2015);GOOGL;01/12/2017;3;2;1;66,67%;33,33%;31/12/2017;31/12/2017;28/02/2018;0,21;0,2;0,09;0,19;0,23;0,29
32530;17034;02136910;ALTAIR ENGINEERING INC;ALTR;01/12/2017;4;4;2;100,00%;50,00%;31/12/2017;31/12/2017;28/02/2018;0,04;-0,09;;-0,63;0,78;3,57
8543;13901;02209S10;ALTRIA GROUP INC (Philip Morris Cos prior to 01/2003);MO;01/12/2017;6;5;2;83,33%;33,33%;31/12/2017;31/12/2017;28/02/2018;0,15;0,22;0,49;0,35;0,64;1,81
64768;84788;02313510;AMAZON.COM INC;AMZN;01/12/2017;3;3;3;100,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,05;0,12;0,13;0,07;0,79;3,74
1440;24109;02553710;AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2017;7;7;7;100,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,7;0,08;0,07;0,08;0,72;2,54
1487;66800;02687478;AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2017;7;7;5;100,00%;71,43%;31/12/2017;31/12/2017;28/02/2018;1,22;0,01;-0,09;0,02;0,87;6,64
164708;90880;03076C10;AMERIPRISE FINANCIAL INC;AMP;01/12/2017;3;3;2;100,00%;66,67%;31/12/2017;31/12/2017;28/02/2018;0,24;0,02;0,24;0,22;0,96;23,59
1602;14008;03116210;AMGEN INC;AMGN;01/12/2017;10;7;5;70,00%;50,00%;31/12/2017;31/12/2017;28/02/2018;0,21;0,16;0,07;0,17;0,68;2,17
14282;84769;03209510;AMPHENOL CORP;APH;01/12/2017;4;3;2;75,00%;50,00%;31/12/2017;31/12/2017;28/02/2018;0,16;0,18;0,16;0,2;0,6;1,49
11923;70332;03251110;ANADARKO PETROLEUM CORP (De-listed 08/2019);APC;01/12/2017;5;5;1;100,00%;20,00%;31/12/2017;31/12/2017;28/02/2018;0,45;0,08;-0,03;-0,06;0,67;2,65
10466;37284;03349M10;ANDEAVOR (Tesoro Corp prior to 08/2017) (De-listed 10/2018);ANDV;01/12/2017;6;6;5;100,00%;83,33%;31/12/2017;31/12/2017;28/02/2018;0,65;0,1;0,17;0,12;0,53;1,54
1678;39490;03741110;APA CORP (Apache Corp prior to 03/2021);APA;01/12/2017;5;3;5;60,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,49;0,15;0,16;0,04;0,6;1,77
1722;10516;03948310;ARCHER-DANIELS-MIDLAND CO;ADM;01/12/2017;5;5;1;100,00%;20,00%;31/12/2017;31/12/2017;28/02/2018;0,87;0,06;0,08;0,06;0,54;1,18
9063;76282;05329W10;ARENA MINERALS INC (Antofagasta Gold Inc prior to 12/2013) (De-listed 04/2023);AN;01/12/2017;4;3;0;75,00%;0,00%;31/12/2017;31/12/2017;28/02/2018;0,52;0,09;0,18;0,09;0,77;3,34
157057;90038;04621X10;ASSURANT INC;AIZ;01/12/2017;5;4;5;80,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,81;0,02;0,12;0,09;0,87;6,45
9899;66093;00206R10;AT&T INC (SBC Communications Inc prior to 11/2005);T;01/12/2017;4;4;2;100,00%;50,00%;31/12/2017;31/12/2017;28/02/2018;0,77;0,12;0,16;0,09;0,68;2,14
10405;43123;01741R10;ATI INC (Allegheny Technologies Inc prior to 07/2022);ATI;01/12/2017;4;3;1;75,00%;25,00%;31/12/2017;31/12/2017;28/02/2018;0,58;0,07;-0,06;0,06;0,64;1,92
23627;15378;00212010;ATYR PHARMA INC;LIFE;01/12/2017;5;5;3;100,00%;60,00%;31/12/2017;31/12/2017;28/02/2018;0,62;-0,55;-0,76;-0,6;0,28;0,39
9063;76282;05329W10;AUTONATION INC;AN;01/12/2017;5;4;2;80,00%;40,00%;31/12/2017;31/12/2017;28/02/2018;0,52;0,09;0,18;0,09;0,77;3,34
7647;59408;06050510;BANK OF AMERICA CORP;BAC;01/12/2017;8;8;8;100,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,81;0,02;0,07;0,07;0,88;7,54
2019;49656;06405810;BANK OF NEW YORK MELLON CORP (THE);BK;01/12/2017;6;6;3;100,00%;50,00%;31/12/2017;31/12/2017;28/02/2018;0,75;0,02;0,1;0,09;0,89;8
2086;27887;07181310;BAXTER INTERNATIONAL INC;BAX;01/12/2017;6;4;5;66,67%;83,33%;31/12/2017;31/12/2017;28/02/2018;0,27;0,14;0,08;0,13;0,47;0,88
25279;77605;10113710;BELO SUN MINING CORP (Verena Minerals Corp prior to 07/2010);BSX;01/12/2017;5;5;0;100,00%;0,00%;31/12/2017;31/12/2017;28/02/2018;0,21;0,14;0,01;0,14;0,63;1,72
2154;43772;08143710;BEMIS CO INC (De-listed 06/2019);BMS;01/12/2017;5;5;1;100,00%;20,00%;31/12/2017;31/12/2017;28/02/2018;0,31;0,14;0,07;0,13;0,68;2,08
24468;76841;09062X10;BIOGEN INC (Biogen Idec Inc prior to 03/2015);BIIB;01/12/2017;4;0;3;0,00%;75,00%;31/12/2017;31/12/2017;28/02/2018;0,19;0,29;0,2;0,31;0,47;0,88
124434;87267;09247X10;BLACKROCK INC;BLK;01/12/2017;7;5;7;71,43%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,43;0,03;0,14;0,15;0,85;5,9
2285;19561;09702310;BOEING CO;BA;01/12/2017;9;9;6;100,00%;66,67%;31/12/2017;31/12/2017;28/02/2018;0,01;0,13;3,77;0,91;1;258,93
28742;79545;09972410;BORGWARNER INC;BWA;01/12/2017;6;6;4;100,00%;66,67%;31/12/2017;31/12/2017;28/02/2018;0,35;0,17;0,12;0,22;0,61;1,6
25279;77605;10113710;BOSTON SCIENTIFIC CORP;BSX;01/12/2017;5;5;5;100,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,21;0,14;0,01;0,14;0,63;1,72
2403;19393;11012210;BRISTOL-MYERS SQUIBB CO;BMY;01/12/2017;7;7;6;100,00%;85,71%;31/12/2017;31/12/2017;28/02/2018;0,12;0,15;0,07;0,2;0,65;1,85
163610;90993;45866F10;CANLAN ICE SPORTS CORP (Canlan Investment Ltd prior to 08/1999);ICE;01/12/2017;3;3;0;100,00%;0,00%;31/12/2017;31/12/2017;28/02/2018;0,47;0,04;0,13;0,11;0,78;3,62
30990;81055;14040H10;CAPITAL ONE FINANCIAL CORP;COF;01/12/2017;5;5;3;100,00%;60,00%;31/12/2017;31/12/2017;28/02/2018;0,92;0,02;0,05;0,07;0,87;6,49
2817;18542;14912310;CATERPILLAR INC;CAT;01/12/2017;4;3;4;75,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,15;0,12;0,06;0,13;0,82;4,61
13599;11552;15102010;CELGENE CORP (De-listed 11/2019);CELG;01/12/2017;5;3;2;60,00%;40,00%;31/12/2017;31/12/2017;28/02/2018;0,1;0,22;0,4;0,27;0,77;3,36
5742;21792;15189T10;CENTERPOINT ENERGY INC;CNP;01/12/2017;6;6;1;100,00%;16,67%;31/12/2017;31/12/2017;28/02/2018;0,64;0,09;0,22;0,08;0,79;3,85
12850;10909;15678210;CERNER CORP (De-listed 06/2022);CERN;01/12/2017;6;4;1;66,67%;16,67%;31/12/2017;31/12/2017;28/02/2018;0,23;0,25;0,19;0,2;0,26;0,35
163946;90829;12526910;CF INDUSTRIES HLDGS INC;CF;01/12/2017;7;3;6;42,86%;85,71%;31/12/2017;31/12/2017;28/02/2018;0,47;0,08;0,07;0,03;0,5;1,89
65609;85459;12541W20;CH ROBINSON WORLDWIDE INC;CHRW;01/12/2017;6;5;6;83,33%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,12;0,22;0,36;0,29;0,66;1,97
13988;75186;80851310;CHARLES SCHWAB CORP;SCHW;01/12/2017;6;4;5;66,67%;83,33%;31/12/2017;31/12/2017;28/02/2018;0,23;0,02;0,16;0,15;0,92;12,09
2991;14541;16676410;CHEVRON CORP;CVX;01/12/2017;5;5;5;100,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,68;0,08;0,06;0,01;0,41;0,71
165914;91068;16965610;CHIPOTLE MEXICAN GRILL INC;CMG;01/12/2017;6;5;1;83,33%;16,67%;31/12/2017;31/12/2017;28/02/2018;0,17;0,23;0,13;;;
14824;23473;17206210;CINCINNATI FINANCIAL CORP;CINF;01/12/2017;9;5;4;55,56%;44,44%;31/12/2017;31/12/2017;28/02/2018;0,73;0,04;0,12;0,09;0,62;1,65
3243;70519;17296742;CITIGROUP INC;C;01/12/2017;6;6;4;100,00%;66,67%;31/12/2017;31/12/2017;28/02/2018;0,95;0,02;-0,03;0,05;0,89;8,17
61676;82686;17737610;CITRIX SYSTEMS INC (De-listed 09/2022);CTXS;01/12/2017;5;5;4;100,00%;80,00%;31/12/2017;31/12/2017;28/02/2018;0,08;0,13;0,01;0,19;0,83;4,86
3107;27422;18589910;CLEVELAND-CLIFFS INC (Cliffs Natural Resources Inc prior to 08/2017);CLF;01/12/2017;6;6;5;100,00%;83,33%;31/12/2017;31/12/2017;28/02/2018;;0,2;;0,3;1,15;-7,65
149070;89626;12572Q10;CME GROUP INC (Chicago Mercantile Exchange Holdings Inc prior to 07/2007);CME;01/12/2017;6;1;3;16,67%;50,00%;31/12/2017;31/12/2017;28/02/2018;0,55;0,03;0,15;0,1;0,7;2,38
3439;23229;12589610;CMS ENERGY CORP;CMS;01/12/2017;6;6;4;100,00%;66,67%;31/12/2017;31/12/2017;28/02/2018;0,44;0,1;0,07;0,09;0,81;4,15
120093;86799;12653C10;CNX RESOURCES CORP (CONSOL Energy Inc prior to 11/2017);CNX;01/12/2017;5;5;5;100,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;1,2;0,06;0,08;0,01;0,44;0,78
3144;11308;19121610;COCA-COLA CO;KO;01/12/2017;4;3;2;75,00%;50,00%;31/12/2017;31/12/2017;28/02/2018;0,1;0,12;0,05;0,14;0,78;4,04
111864;86158;19244610;COGNIZANT TECHNOLOGY SOLUTIONS CORP;CTSH;01/12/2017;9;8;4;88,89%;44,44%;31/12/2017;31/12/2017;28/02/2018;0,26;0,2;0,14;0,22;0,3;0,43
3170;18729;19416210;COLGATE-PALMOLIVE CO;CL;01/12/2017;8;7;8;87,50%;100,00%;31/12/2017;31/12/2017;28/02/2018;;0,35;;0,61;0,98;-207,22
3226;89525;20030N10;COMCAST CORP (AT&T Comcast Corp prior to 11/2002);CMCSA;01/12/2017;8;8;3;100,00%;37,50%;31/12/2017;31/12/2017;28/02/2018;0,5;0,15;0,25;0,14;0,62;1,69
3231;25081;20034010;COMERICA INC;CMA;01/12/2017;6;3;3;50,00%;50,00%;31/12/2017;31/12/2017;28/02/2018;0,53;0,03;0,09;0,15;0,89;7,99
3413;11404;20911510;CONSOLIDATED EDISON INC;ED;01/12/2017;6;1;6;16,67%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,79;0,08;0,07;0,08;0,68;2,12
3532;22293;21935010;CORNING INC;GLW;01/12/2017;9;7;6;77,78%;66,67%;31/12/2017;31/12/2017;28/02/2018;0,5;0,1;-0,03;0,09;0,43;0,75
2574;62148;12640810;CSX CORP;CSX;01/12/2017;8;7;5;87,50%;62,50%;31/12/2017;31/12/2017;28/02/2018;0,43;0,14;0,26;0,15;0,59;1,43
3650;41080;23102110;CUMMINS INC;CMI;01/12/2017;8;7;2;87,50%;25,00%;31/12/2017;31/12/2017;28/02/2018;0,26;0,15;0,14;0,22;0,55;1,37
7241;17005;12665010;CVS HEALTH CORP (CVS Caremark Corp prior to 09/2014);CVS;01/12/2017;5;3;3;60,00%;60,00%;31/12/2017;31/12/2017;28/02/2018;0,55;0,13;0,16;0,16;0,6;1,52
3735;49680;23585110;DANAHER CORP;DHR;01/12/2017;4;2;4;50,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,41;0,1;0,1;0,09;0,43;0,77
61483;82307;23918K10;DAVITA INC (DaVita HealthCare Partners Inc prior to 09/2016);DVA;01/12/2017;4;3;4;75,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,39;0,12;0,17;0,12;0,69;2,78
62655;83421;24237020;DEAN FOODS CO (Suiza Foods prior to 12/2001) (De-listed 11/2019);DF;01/12/2017;5;5;5;100,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,68;0,13;0,07;0,1;0,74;2,82
14934;87137;25179M10;DEVON ENERGY CORP;DVN;01/12/2017;4;3;1;75,00%;25,00%;31/12/2017;31/12/2017;28/02/2018;0,46;0,12;0,11;0,06;0,53;1,74
177376;92121;25470910;DISCOVER FINANCIAL SERVICES INC;DFS;01/12/2017;4;4;4;100,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,38;0,05;0,2;0,12;0,89;8,19
4029;64936;25746U10;DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017);D;01/12/2017;6;6;5;100,00%;83,33%;31/12/2017;31/12/2017;28/02/2018;0,41;0,08;0,13;0,08;0,75;3,34
4058;25953;26000310;DOVER CORP;DOV;01/12/2017;7;4;7;57,14%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,31;0,13;0,17;0,13;0,59;1,43
3897;11674;23333110;DTE ENERGY CO;DTE;01/12/2017;5;2;4;40,00%;80,00%;31/12/2017;31/12/2017;28/02/2018;0,59;0,08;0,09;0,08;0,7;2,5
4093;27959;26441C20;DUKE ENERGY CORP;DUK;01/12/2017;7;6;5;85,71%;71,43%;31/12/2017;31/12/2017;28/02/2018;0,83;0,07;0,06;0,07;0,7;2,3
4094;88590;26483E10;DUN & BRADSTREET CORP (De-listed 02/2019);DNB;01/12/2017;5;4;1;80,00%;20,00%;31/12/2017;31/12/2017;28/02/2018;;0,21;;0,58;1,33;-3,98
63501;83862;26924640;E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETFC;01/12/2017;6;5;3;83,33%;50,00%;31/12/2017;31/12/2017;28/02/2018;0,47;0,02;0,1;0,16;0,89;8,13
29392;80080;27743210;EASTMAN CHEMICAL CO;EMN;01/12/2017;7;2;6;28,57%;85,71%;31/12/2017;31/12/2017;28/02/2018;0,48;0,14;0,23;0,14;0,66;1,95
114524;86356;27864210;EBAY INC;EBAY;01/12/2017;4;3;1;75,00%;25,00%;31/12/2017;31/12/2017;28/02/2018;0,3;0,12;-0,09;0,12;0,69;2,22
4213;70578;27886510;ECOLAB INC;ECL;01/12/2017;7;7;6;100,00%;85,71%;31/12/2017;31/12/2017;28/02/2018;0,21;0,15;0,19;0,14;0,61;1,61
9846;15720;28102010;EDISON INTERNATIONAL;EIX;01/12/2017;8;8;6;100,00%;75,00%;31/12/2017;31/12/2017;28/02/2018;0,79;0,08;0,04;0,09;0,74;2,79
133366;87657;28176E10;EDWARDS LIFESCIENCES CORP;EW;01/12/2017;4;4;4;100,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,13;0,23;0,21;0,3;0,48;0,93
6730;50876;53245710;ELI LILLY & CO;LLY;01/12/2017;6;5;4;83,33%;66,67%;31/12/2017;31/12/2017;28/02/2018;0,13;0,15;-0,02;0,2;0,74;2,87
4423;52476;29442910;ENERFLEX LTD;EFX;01/12/2017;5;5;0;100,00%;0,00%;31/12/2017;31/12/2017;28/02/2018;0,25;0,18;0,18;0,17;0,55;1,26
7366;24010;29364G10;ENTERGY CORP;ETR;01/12/2017;5;4;2;80,00%;40,00%;31/12/2017;31/12/2017;28/02/2018;0,86;0,08;0,03;0,07;0,82;4,7
16478;75825;26875P10;EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999);EOG;01/12/2017;9;3;4;33,33%;44,44%;31/12/2017;31/12/2017;28/02/2018;0,32;0,16;0,13;0,05;0,45;0,83
4430;24328;26884L10;EQT CORP (Equitable Resources Inc prior to 02/2009);EQT;01/12/2017;4;3;3;75,00%;75,00%;31/12/2017;31/12/2017;28/02/2018;1;0,1;0,13;0,08;0,38;0,83
